deal_num,side,lot,price
590,buy,0.04,4752.71
591,sell,0.04,4765.52
592,buy,0.04,4753.87
593,sell,0.04,4723.87
594,buy,0.04,4812.98
595,sell,0.04,4782.98
596,buy,0.04,4780.68
597,sell,0.04,4750.68
598,buy,0.04,4801.01
599,sell,0.04,4771.01
600,buy,0.04,4744.52
601,sell,0.04,4755.49
602,buy,0.04,4684.89
603,sell,0.04,4717.75
604,buy,0.04,4702.05
605,sell,0.04,4672.05
606,buy,0.04,4542.08
607,sell,0.04,4602.08
608,buy,0.04,4551.06
609,sell,0.04,4573.4
610,buy,0.04,4699.43
611,sell,0.04,4724.99
612,buy,0.04,4712.25
613,sell,0.04,4721.11
614,buy,0.04,4712.67
615,sell,0.04,4682.67
616,buy,0.04,4698.68
617,sell,0.04,4705.34
618,buy,0.04,4697.25
619,sell,0.04,4701.17
620,buy,0.04,4689.08
621,sell,0.04,4700.0
622,buy,0.04,4677.06
623,sell,0.04,4647.06
624,buy,0.04,4539.64
625,sell,0.04,4554.49
626,buy,0.04,4521.69
627,sell,0.04,4491.69
628,buy,0.04,4522.74
629,sell,0.04,4492.74
630,buy,0.04,4549.43
631,sell,0.04,4519.43
632,buy,0.04,4529.0
633,sell,0.04,4499.0
634,buy,0.04,4504.37
635,sell,0.04,4474.37
636,buy,0.04,4319.74
637,sell,0.04,4335.71
638,buy,0.04,4327.28
639,sell,0.04,4297.28
640,buy,0.03,4320.85
641,sell,0.03,4327.41
642,buy,0.03,4326.8
643,sell,0.03,4296.8
644,buy,0.03,4177.71
645,sell,0.03,4147.71
646,buy,0.03,4052.52
647,sell,0.03,4022.52
648,buy,0.03,4011.42
649,sell,0.03,3981.42
650,buy,0.03,4141.74
651,sell,0.03,4111.74
652,buy,0.03,4118.16
653,sell,0.03,4088.16
654,buy,0.03,4066.85
655,sell,0.03,4092.15
656,buy,0.03,4114.4
657,sell,0.03,4084.4
658,buy,0.03,4037.31
659,sell,0.03,4063.0
660,buy,0.03,4039.27
661,sell,0.03,4009.27
662,buy,0.03,3992.61
663,sell,0.03,4003.8
664,buy,0.03,4122.23
665,sell,0.03,4137.64
666,buy,0.03,4076.28
667,sell,0.03,4046.28
668,buy,0.03,4027.22
669,sell,0.03,3997.22
670,buy,0.03,4047.11
671,sell,0.03,4067.61
672,buy,0.03,4082.3
673,sell,0.03,4052.3
674,buy,0.03,4052.74
675,sell,0.03,4022.74
676,buy,0.03,4049.25
677,sell,0.03,4109.25
678,buy,0.03,4238.52
679,sell,0.03,4260.96
680,buy,0.03,4319.89
681,sell,0.03,4334.55
682,buy,0.03,4327.82
683,sell,0.03,4349.59
684,buy,0.03,4366.39
685,sell,0.03,4391.2
686,buy,0.03,4381.33
687,sell,0.03,4390.45
688,buy,0.03,4403.37
689,sell,0.03,4419.14
690,buy,0.03,4406.14
691,sell,0.03,4376.14
692,buy,0.03,4386.77
693,sell,0.03,4356.77
